"","anon_id","follow_date","follow_score","follow_income","advisor_id","branch_id","baseline_income","client_type","area","in_01","in_02","in_03","in_04","in_05","in_06","in_07","in_08","in_09","in_10","in_11","in_12","in_13","in_14","in_15","in_16","in_17","in_18","in_19","in_20","in_21","in_22","in_23","in_24","in_25","in_26","in_27","in_28","in_29","in_30","in_31","in_32","in_33","in_34","in_35","in_36","in_37","in_38","in_39","in_40","in_41","in_42","in_43","in_44","in_45","in_46","in_47","in_48","in_49","in_50","base_score","base_date","change","improve","remove"
"68",952669,2016-11-28,150,3500,1323,7,3499.984,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,146,2016-10-19,4,1,0
"69",953903,2016-10-29,132,566.6666667,1436,19,316.6666667,"Sorteado","Urban",2,2,3,3,3,3,3,3,3,2,2,3,2,2,3,2,1,3,3,1,1,3,2,1,3,3,3,3,3,3,3,1,3,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,128,2016-07-26,4,1,0
"70",956502,2016-07-27,128,800,1246,19,400,"Sorteado","Urban",2,1,3,3,3,3,3,3,2,2,2,3,1,3,3,3,2,3,3,3,1,3,2,2,3,3,3,3,3,3,1,3,3,3,2,2,3,3,1,1,3,1,3,3,3,1,3,3,3,3,125,2016-02-19,3,1,0
"71",960430,2016-10-31,150,1250,1267,26,1250,"Sorteado","Urban",3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148,2016-09-28,2,1,0
"72",963770,2016-08-30,132,561.1097778,671,4,303.3328889,"Sorteado","Rural",2,2,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,3,3,2,1,3,1,1,3,2,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,131,2016-06-08,1,1,0
"73",974818,2016-11-14,150,675,1142,16,675,"Sorteado","Rural",3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-10-06,4,1,0
"74",984828,2016-11-29,150,1525,617,9,1525,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,149,2016-10-17,1,1,0
"75",986907,2016-11-28,147,1020,1449,20,600,"Sorteado","Metropolitan",2,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-10-22,1,1,0
"76",998788,2016-09-25,150,720,973,6,200,"Sorteado","Metropolitan",1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,145,2015-09-02,5,1,0
"77",1005946,2016-11-30,140,576,955,10,278.4055,"Sorteado","Urban",1,2,3,2,3,3,3,3,3,2,1,3,3,2,3,2,3,2,3,2,2,2,3,3,2,3,3,3,3,2,1,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,129,2016-06-14,11,1,0
